,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,68,SeiSEIBuy,$0.2281,1.84%,14.83%,1.26%,"$1.17B$1,165,337,736","$133,826,529586.50M SEI",5.1B SEI,
,69,QuantQNTBuy,$95.53,0.44%,7.33%,14.76%,"$1.15B$1,153,335,028","$37,790,761395.58K QNT",12.07M QNT,
,70,StoryIPBuy,$4.19,1.96%,8.97%,0.70%,"$1.13B$1,133,230,503","$70,598,71316.82M IP",270.14M IP,
,71,OptimismOPBuy,$0.6798,1.61%,14.76%,8.03%,"$1.13B$1,126,584,758","$250,591,185368.60M OP",1.65B OP,
,72,ImmutableIMXBuy,$0.6102,1.66%,14.71%,3.14%,"$1.11B$1,109,001,078","$62,348,583102.17M IMX",1.81B IMX,
,73,InjectiveINJBuy,$11.06,0.92%,15.79%,7.76%,"$1.11B$1,105,998,143","$153,882,82613.90M INJ",99.97M INJ,
,74,Curve DAO TokenCRVBuy,$0.7456,0.99%,12.46%,5.16%,"$1B$1,000,285,564","$193,140,680259.03M CRV",1.34B CRV,
,75,The GraphGRTBuy,$0.1017,0.88%,11.78%,1.19%,"$994.94M$994,941,012","$51,499,175505.97M GRT",9.77B GRT,
,76,FourFORMBuy,$2.42,1.73%,5.86%,11.25%,"$924.96M$924,956,450","$69,603,92528.73M FORM",381.86M FORM,
,77,FLOKIFLOKIBuy,$0.00009128,2.45%,19.45%,5.29%,"$878.64M$878,635,252","$166,158,4661.82T FLOKI",9.62T FLOKI,
,78,PayPal USDPYUSDBuy,$0.9993,0.02%,0.00%,0.05%,"$871.02M$871,022,043","$34,652,38934.67M PYUSD",871.6M PYUSD,
,79,JasmyCoinJASMYBuy,$0.01752,0.92%,13.26%,1.96%,"$866.64M$866,636,411","$57,355,9063.27B JASMY",49.44B JASMY,
,80,IOTAIOTABuy,$0.2290,0.63%,11.00%,8.40%,"$858.77M$858,771,090","$30,425,499132.80M IOTA",3.74B IOTA,
,81,Pudgy PenguinsPENGUBuy,$0.01354,5.11%,23.58%,26.39%,"$851.3M$851,302,098","$426,422,63531.48B PENGU",62.86B PENGU,
,82,Lido DAOLDOBuy,$0.9347,1.93%,20.37%,8.27%,"$839.37M$839,365,537","$119,577,331127.92M LDO",897.92M LDO,
,83,WalrusWALBuy,$0.6333,1.79%,15.50%,2.89%,"$833.14M$833,142,277","$82,953,354130.97M WAL",1.31B WAL,
,84,Theta NetworkTHETABuy,$0.8296,1.60%,16.17%,8.81%,"$829.63M$829,625,738","$49,151,42959.24M THETA",1B THETA,
,85,Tether GoldXAUtBuy,"$3,320.89",0.23%,1.52%,2.19%,"$818.68M$818,679,617","$35,399,48110.66K XAUt",246.52K XAUt,
,86,NexoNEXOBuy,$1.26,1.45%,1.18%,1.43%,"$814.63M$814,633,975","$18,236,06214.46M NEXO",646.14M NEXO,
,87,RaydiumRAYBuy,$2.77,1.43%,13.66%,4.46%,"$805.58M$805,575,014","$92,687,92233.40M RAY",290.3M RAY,
,88,Bitcoin SVBSVBuy,$40.05,1.62%,8.91%,6.95%,"$795.49M$795,486,554","$79,685,7921.98M BSV",19.86M BSV,
,89,The SandboxSANDBuy,$0.3136,1.64%,14.64%,3.36%,"$791.51M$791,511,522","$96,230,169306.77M SAND",2.52B SAND,
,90,PAX GoldPAXGBuy,"$3,322.78",0.19%,1.60%,2.19%,"$787.22M$787,224,798","$110,126,89233.14K PAXG",236.91K PAXG,
,91,GalaGALABuy,$0.01762,2.21%,15.63%,1.78%,"$781.12M$781,119,631","$84,926,5454.81B GALA",44.32B GALA,
,92,Ethereum Name ServiceENSBuy,$21.05,1.18%,17.78%,11.77%,"$760.84M$760,839,079","$142,848,2076.78M ENS",36.12M ENS,
,93,CoreCOREBuy,$0.7547,0.69%,6.33%,6.88%,"$755.34M$755,335,968","$25,150,04833.30M CORE",1B CORE,
,94,BitTorrent [New]BTTBuy,$0.067517,0.38%,7.99%,6.12%,"$741.23M$741,229,983","$29,916,06539.79T BTT",986.06T BTT,
,95,KaiaKAIABuy,$0.1210,0.04%,10.90%,2.52%,"$727.78M$727,783,833","$19,017,874157.12M KAIA",6.01B KAIA,
,96,Brett (Based)BRETTBuy,$0.07291,6.52%,37.81%,7.62%,"$722.56M$722,561,580","$92,827,2961.27B BRETT",9.91B BRETT,
,97,HeliumHNTBuy,$3.95,0.86%,5.84%,3.49%,"$721.03M$721,033,249","$9,363,3472.36M HNT",182.17M HNT,
,98,PancakeSwapCAKEBuy,$2.21,0.82%,9.16%,5.94%,"$712.52M$712,518,504","$97,010,22243.77M CAKE",321.54M CAKE,
,99,dogwifhatWIFBuy,$0.6775,3.59%,18.58%,8.51%,"$676.81M$676,811,731","$354,721,378522.86M WIF",998.84M WIF,
,100,ZcashZECBuy,$41.88,0.08%,2.59%,11.94%,"$665.44M$665,439,771","$73,462,7081.75M ZEC",15.88M ZEC,
